"","p","m","M","avg_e","avg_F","avg_g","avg_t"
"589",0.6,10,55,7.25,20.33,13.23,4.32
"590",0.6,10,60,7.42,20.05,13.33,4.6
"591",0.6,11,15,10.33,13.64,11.66,9.09
"592",0.6,11,20,8.91,18.19,13.49,6.76
"593",0.6,11,25,8.32,20.63,14.42,5.76
"594",0.6,11,30,7.93,21.79,14.63,5.18
"595",0.6,11,35,8.01,21.85,14.46,4.89
"596",0.6,11,40,8.08,21.37,14.34,5.27
"597",0.6,11,45,8.01,21.45,14.18,4.89
"598",0.6,11,50,7.97,22.32,14.42,4.59
"599",0.6,11,55,7.94,21.2,14.19,4.97
"600",0.6,11,60,7.94,21.48,14.36,5.01
"601",0.7,2,15,2,1.8,1.4,1
"602",0.7,2,20,2,1.9,1.45,1
"603",0.7,2,25,2,1.74,1.37,1
"604",0.7,2,30,2,2.1,1.55,1
"605",0.7,2,35,2,1.96,1.48,1
"606",0.7,2,40,2,2.14,1.57,1
"607",0.7,2,45,2,1.78,1.39,1
"608",0.7,2,50,2,1.7,1.35,1
"609",0.7,2,55,2,1.82,1.41,1
"610",0.7,2,60,2,1.82,1.41,1
"611",0.7,3,15,2.7,3.78,2.78,1.7
"612",0.7,3,20,2.78,3.4,2.63,1.78
"613",0.7,3,25,2.68,3.76,2.75,1.68
"614",0.7,3,30,2.74,3.53,2.67,1.74
"615",0.7,3,35,2.72,3.69,2.73,1.72
"616",0.7,3,40,2.71,3.69,2.74,1.71
"617",0.7,3,45,2.63,3.82,2.76,1.63
"618",0.7,3,50,2.7,3.66,2.71,1.7
"619",0.7,3,55,2.73,3.77,2.8,1.73
"620",0.7,3,60,2.71,3.71,2.75,1.71
"621",0.7,4,15,3.67,5.16,3.9,2.52
"622",0.7,4,20,3.55,5.68,4.08,2.38
"623",0.7,4,25,3.65,5.26,3.94,2.51
"624",0.7,4,30,3.55,5.8,4.12,2.3
"625",0.7,4,35,3.59,5.67,4.08,2.39
"626",0.7,4,40,3.56,5.53,4.03,2.36
"627",0.7,4,45,3.58,5.61,4.03,2.37
"628",0.7,4,50,3.55,5.66,4.03,2.29
"629",0.7,4,55,3.48,5.67,4.01,2.25
"630",0.7,4,60,3.56,5.72,4.15,2.42
"631",0.7,5,15,4.1,8.05,5.47,2.57
"632",0.7,5,20,4.16,7.7,5.36,2.71
"633",0.7,5,25,4.23,7.82,5.4,2.72
"634",0.7,5,30,4.18,8.05,5.49,2.65
"635",0.7,5,35,4.31,7.5,5.37,2.96
"636",0.7,5,40,4.21,8.08,5.5,2.65
"637",0.7,5,45,4.25,7.39,5.23,2.82
"638",0.7,5,50,4.29,7.35,5.18,2.8
"639",0.7,5,55,4.27,7.55,5.4,2.92
"640",0.7,5,60,4.21,7.96,5.37,2.57
"641",0.7,6,15,5.07,9.14,6.52,3.53
"642",0.7,6,20,4.96,9.9,6.69,3.18
"643",0.7,6,25,5.05,9.62,6.55,3.18
"644",0.7,6,30,4.94,9.78,6.7,3.33
"645",0.7,6,35,5.04,9.63,6.66,3.29
"646",0.7,6,40,4.98,9.7,6.6,3.19
"647",0.7,6,45,5.05,9.54,6.7,3.48
"648",0.7,6,50,5.01,9.85,6.78,3.27
"649",0.7,6,55,5.04,9.75,6.8,3.42
"650",0.7,6,60,5.05,9.99,6.69,3.09
"651",0.7,7,15,5.85,11.52,7.79,3.59
"652",0.7,7,20,5.73,11.45,7.95,3.81
"653",0.7,7,25,5.83,11.39,7.97,3.96
"654",0.7,7,30,5.63,11.98,8.11,3.5
"655",0.7,7,35,5.85,11.03,7.78,3.91
"656",0.7,7,40,5.71,11.73,8.15,3.93
"657",0.7,7,45,5.7,11.43,8.01,3.99
"658",0.7,7,50,5.55,11.9,8.13,3.64
"659",0.7,7,55,5.57,12.35,8.12,3.34
"660",0.7,7,60,5.59,12.05,8.23,3.73
"661",0.7,8,15,6.78,12.43,8.99,4.76
"662",0.7,8,20,6.61,13.33,8.99,4.02
"663",0.7,8,25,6.47,13.79,9.3,4.05
"664",0.7,8,30,6.52,13.33,9.03,4.17
"665",0.7,8,35,6.42,14.1,9.52,4.05
"666",0.7,8,40,6.4,14.02,9.59,4.4
"667",0.7,8,45,6.48,13.49,9.12,4.11
"668",0.7,8,50,6.51,13.93,9.35,4.05
"669",0.7,8,55,6.26,13.78,9.38,4.06
"670",0.7,8,60,6.44,13.36,9.11,4.13
"671",0.7,9,15,7.77,13.07,9.94,5.96
"672",0.7,9,20,7.23,15.44,10.7,4.69
"673",0.7,9,25,7.3,16.09,10.78,4.52
"674",0.7,9,30,7.21,15.93,10.66,4.55
"675",0.7,9,35,6.93,15.83,10.78,4.54
"676",0.7,9,40,7.09,16.11,10.58,4.16
"677",0.7,9,45,7.1,15.91,10.55,4.21
"678",0.7,9,50,7.04,16.03,10.78,4.5
"679",0.7,9,55,7.15,15.51,10.62,4.6
"680",0.7,9,60,7.02,15.97,10.55,4.11
"681",0.7,10,15,9.08,12.91,10.61,7.66
"682",0.7,10,20,8.11,16.81,11.7,5.35
"683",0.7,10,25,7.77,18.01,11.97,4.67
"684",0.7,10,30,8.05,18.04,11.92,4.9
"685",0.7,10,35,7.84,17.44,11.76,4.89
"686",0.7,10,40,8.02,17.29,11.71,4.95
"687",0.7,10,45,7.89,18.12,12.13,4.88
"688",0.7,10,50,7.66,18.33,12.13,4.72
"689",0.7,10,55,7.88,17.38,11.85,5.07
"690",0.7,10,60,7.77,18.03,11.73,4.39
"691",0.7,11,15,10.42,12.93,11.24,9.22
"692",0.7,11,20,9.24,17.58,12.63,6.57
"693",0.7,11,25,8.45,19.74,13.27,5.18
"694",0.7,11,30,8.66,19.56,13.11,5.14
"695",0.7,11,35,8.53,20.29,13.42,5.01
"696",0.7,11,40,8.58,19.98,13.19,4.98
"697",0.7,11,45,8.62,19.88,13.15,5.11
"698",0.7,11,50,8.53,20.14,13.31,5.06
"699",0.7,11,55,8.61,19.06,13.06,5.6
"700",0.7,11,60,8.7,19.56,13.09,5.26
"701",0.8,2,15,2,1.44,1.22,1
"702",0.8,2,20,2,1.3,1.15,1
"703",0.8,2,25,2,1.62,1.31,1
"704",0.8,2,30,2,1.5,1.25,1
"705",0.8,2,35,2,1.82,1.41,1
"706",0.8,2,40,2,1.34,1.17,1
"707",0.8,2,45,2,1.4,1.2,1
"708",0.8,2,50,2,1.46,1.23,1
"709",0.8,2,55,2,1.44,1.22,1
"710",0.8,2,60,2,1.52,1.26,1
"711",0.8,3,15,2.86,2.93,2.42,1.86
"712",0.8,3,20,2.78,3.06,2.44,1.78
"713",0.8,3,25,2.8,3.11,2.47,1.8
"714",0.8,3,30,2.82,3.21,2.54,1.82
"715",0.8,3,35,2.81,3.14,2.51,1.81
"716",0.8,3,40,2.75,3.46,2.63,1.75
"717",0.8,3,45,2.82,2.91,2.38,1.82
"718",0.8,3,50,2.85,2.85,2.35,1.85
"719",0.8,3,55,2.84,2.83,2.34,1.84
"720",0.8,3,60,2.81,2.99,2.41,1.81
"721",0.8,4,15,3.71,4.8,3.71,2.56
"722",0.8,4,20,3.73,4.68,3.67,2.6
"723",0.8,4,25,3.65,4.81,3.71,2.52
"724",0.8,4,30,3.64,4.86,3.69,2.45
"725",0.8,4,35,3.64,4.76,3.64,2.49
"726",0.8,4,40,3.65,4.73,3.62,2.47
"727",0.8,4,45,3.66,4.88,3.73,2.51
"728",0.8,4,50,3.63,4.87,3.7,2.46
"729",0.8,4,55,3.66,4.88,3.67,2.41
"730",0.8,4,60,3.71,4.38,3.49,2.57
"731",0.8,5,15,4.45,6.56,4.96,3.13
"732",0.8,5,20,4.51,6.28,4.85,3.24
"733",0.8,5,25,4.5,6.3,4.75,3.1
"734",0.8,5,30,4.49,6.28,4.7,3.04
"735",0.8,5,35,4.49,6.46,4.83,3.07
"736",0.8,5,40,4.43,6.65,4.91,3.04
"737",0.8,5,45,4.44,6.41,4.83,3.1
"738",0.8,5,50,4.41,6.72,4.94,3
"739",0.8,5,55,4.44,6.4,4.84,3.1
"740",0.8,5,60,4.45,6.63,4.86,2.96
"741",0.8,6,15,5.34,8.65,6.2,3.55
"742",0.8,6,20,5.36,8.22,6.1,3.77
"743",0.8,6,25,5.41,7.94,5.91,3.78
"744",0.8,6,30,5.28,8.27,6.06,3.68
"745",0.8,6,35,5.31,8.21,5.95,3.57
"746",0.8,6,40,5.22,8.59,6.09,3.41
"747",0.8,6,45,5.39,7.97,6.01,3.91
"748",0.8,6,50,5.31,8.5,6.2,3.69
"749",0.8,6,55,5.32,7.94,5.94,3.78
"750",0.8,6,60,5.3,8.32,6.03,3.61
"751",0.8,7,15,6.14,9.83,7.19,4.29
"752",0.8,7,20,6.15,10,7.2,4.17
"753",0.8,7,25,6.09,10.03,7.24,4.14
"754",0.8,7,30,6.15,9.98,7.11,4
"755",0.8,7,35,6.01,10.29,7.3,3.97
"756",0.8,7,40,6.1,9.99,7.2,4.17
"757",0.8,7,45,6.06,9.87,7.25,4.25
"758",0.8,7,50,5.98,10.43,7.36,3.91
"759",0.8,7,55,6.11,10.14,7.26,4.14
"760",0.8,7,60,6.07,9.83,7.14,4.19
"761",0.8,8,15,6.92,11.93,8.45,4.57
"762",0.8,8,20,6.84,12.24,8.57,4.5
"763",0.8,8,25,6.81,12.34,8.6,4.45
"764",0.8,8,30,6.86,11.68,8.42,4.71
"765",0.8,8,35,6.97,11.65,8.42,4.84
"766",0.8,8,40,6.92,12.31,8.57,4.42
"767",0.8,8,45,6.89,12.47,8.64,4.34
"768",0.8,8,50,6.77,12.5,8.64,4.37
"769",0.8,8,55,6.94,11.7,8.46,4.82
"770",0.8,8,60,6.81,12.43,8.66,4.49
"771",0.8,9,15,8.14,12.06,9.31,6.15
"772",0.8,9,20,7.7,13.78,9.63,4.96
"773",0.8,9,25,7.7,14.05,9.75,4.93
"774",0.8,9,30,7.68,13.76,9.75,5.26
"775",0.8,9,35,7.66,14,9.67,4.85
"776",0.8,9,40,7.68,14.23,9.92,5.08
"777",0.8,9,45,7.74,13.81,9.69,5.04
"778",0.8,9,50,7.78,13.46,9.59,5.16
"779",0.8,9,55,7.61,14.09,9.74,4.87
"780",0.8,9,60,7.88,13.78,9.67,5.16
"781",0.8,10,15,9.43,11.74,9.93,7.97
"782",0.8,10,20,8.62,15.43,10.75,5.44
"783",0.8,10,25,8.67,15.27,10.67,5.68
"784",0.8,10,30,8.55,15.49,10.73,5.32
"785",0.8,10,35,8.46,16.04,10.9,5.12
"786",0.8,10,40,8.5,15.65,10.81,5.34
"787",0.8,10,45,8.52,15.87,10.84,5.14
"788",0.8,10,50,8.65,15.57,10.77,5.42
"789",0.8,10,55,8.42,16.08,10.93,5.1
"790",0.8,10,60,8.42,16.25,10.83,4.86
"791",0.8,11,15,10.58,12.04,10.79,9.35
"792",0.8,11,20,9.5,16.93,11.89,6.22
"793",0.8,11,25,9.26,17.73,12.22,5.77
"794",0.8,11,30,9.26,18.3,12.11,5.22
"795",0.8,11,35,9.37,17.88,11.99,5.43
"796",0.8,11,40,9.07,17.88,12.26,5.63
"797",0.8,11,45,9.36,17.73,12.07,5.75
"798",0.8,11,50,9.41,17.87,12.09,5.72
"799",0.8,11,55,9.42,17.73,11.94,5.63
"800",0.8,11,60,9.18,17.9,12.08,5.39
"801",0.9,2,15,2,1.28,1.14,1
"802",0.9,2,20,2,1.1,1.05,1
"803",0.9,2,25,2,1.32,1.16,1
"804",0.9,2,30,2,1.16,1.08,1
"805",0.9,2,35,2,1.3,1.15,1
"806",0.9,2,40,2,1.26,1.13,1
"807",0.9,2,45,2,1.18,1.09,1
"808",0.9,2,50,2,1.2,1.1,1
"809",0.9,2,55,2,1.16,1.08,1
"810",0.9,2,60,2,1.16,1.08,1
"811",0.9,3,15,2.88,2.53,2.21,1.88
"812",0.9,3,20,2.9,2.52,2.21,1.9
"813",0.9,3,25,2.9,2.59,2.26,1.9
"814",0.9,3,30,2.92,2.34,2.13,1.92
"815",0.9,3,35,2.9,2.57,2.24,1.9
"816",0.9,3,40,2.94,2.39,2.17,1.94
"817",0.9,3,45,2.9,2.53,2.22,1.9
"818",0.9,3,50,2.95,2.48,2.23,1.95
"819",0.9,3,55,2.89,2.48,2.19,1.89
"820",0.9,3,60,2.87,2.76,2.32,1.87
"821",0.9,4,15,3.82,3.9,3.33,2.75
"822",0.9,4,20,3.8,3.91,3.31,2.69
"823",0.9,4,25,3.83,3.84,3.28,2.7
"824",0.9,4,30,3.83,3.84,3.31,2.77
"825",0.9,4,35,3.79,4.11,3.43,2.7
"826",0.9,4,40,3.8,4,3.37,2.72
"827",0.9,4,45,3.82,3.86,3.27,2.68
"828",0.9,4,50,3.86,3.77,3.29,2.78
"829",0.9,4,55,3.76,4.02,3.34,2.66
"830",0.9,4,60,3.8,3.85,3.29,2.7
"831",0.9,5,15,4.67,5.5,4.43,3.34
"832",0.9,5,20,4.66,5.45,4.47,3.42
"833",0.9,5,25,4.76,5.16,4.37,3.54
"834",0.9,5,30,4.71,5.22,4.37,3.47
"835",0.9,5,35,4.74,5.23,4.41,3.53
"836",0.9,5,40,4.82,4.75,4.24,3.72
"837",0.9,5,45,4.72,5.21,4.36,3.48
"838",0.9,5,50,4.83,4.94,4.37,3.73
"839",0.9,5,55,4.71,5.48,4.44,3.35
"840",0.9,5,60,4.73,5.25,4.39,3.5
"841",0.9,6,15,5.67,6.59,5.4,4.18
"842",0.9,6,20,5.5,7.62,5.74,3.79
"843",0.9,6,25,5.59,6.99,5.61,4.16
"844",0.9,6,30,5.69,6.53,5.44,4.29
"845",0.9,6,35,5.65,6.72,5.46,4.18
"846",0.9,6,40,5.59,6.98,5.55,4.07
"847",0.9,6,45,5.54,7.16,5.6,3.99
"848",0.9,6,50,5.7,6.56,5.45,4.3
"849",0.9,6,55,5.7,6.49,5.45,4.36
"850",0.9,6,60,5.7,6.62,5.48,4.3
"851",0.9,7,15,6.44,8.6,6.65,4.62
"852",0.9,7,20,6.44,8.65,6.65,4.57
"853",0.9,7,25,6.55,8.29,6.57,4.78
"854",0.9,7,30,6.55,8.18,6.62,4.95
"855",0.9,7,35,6.53,8.56,6.61,4.63
"856",0.9,7,40,6.63,7.92,6.46,4.97
"857",0.9,7,45,6.56,7.99,6.55,5.03
"858",0.9,7,50,6.52,8.23,6.62,4.92
"859",0.9,7,55,6.53,8.36,6.59,4.77
"860",0.9,7,60,6.49,8.51,6.63,4.72
"861",0.9,8,15,7.59,9.45,7.65,5.76
"862",0.9,8,20,7.43,9.9,7.66,5.4
"863",0.9,8,25,7.45,9.86,7.66,5.36
"864",0.9,8,30,7.45,9.7,7.77,5.66
"865",0.9,8,35,7.3,10.35,7.86,5.2
"866",0.9,8,40,7.54,9.26,7.58,5.82
"867",0.9,8,45,7.58,9.38,7.61,5.78
"868",0.9,8,50,7.47,9.64,7.62,5.49
"869",0.9,8,55,7.46,10.01,7.77,5.44
"870",0.9,8,60,7.46,10.12,7.71,5.25
"871",0.9,9,15,8.54,10.35,8.6,6.76
"872",0.9,9,20,8.39,11.36,8.72,5.96
"873",0.9,9,25,8.26,11.89,8.9,5.77
"874",0.9,9,30,8.23,11.8,8.97,5.93
"875",0.9,9,35,8.46,11.26,8.75,6.12
"876",0.9,9,40,8.39,11.14,8.71,6.17
"877",0.9,9,45,8.26,11.92,8.92,5.72
"878",0.9,9,50,8.36,11.32,8.75,6.05
"879",0.9,9,55,8.34,11.42,8.79,6.06
"880",0.9,9,60,8.3,11.51,8.85,6.04
"881",0.9,10,15,9.59,10.95,9.51,8.04
"882",0.9,10,20,9.2,13.06,9.91,6.56
"883",0.9,10,25,9.35,12.81,9.75,6.59
"884",0.9,10,30,9.14,13.07,9.97,6.65
"885",0.9,10,35,9.17,13.65,10,6.15
"886",0.9,10,40,9.33,13.18,9.83,6.37
"887",0.9,10,45,9.18,13.41,9.92,6.29
"888",0.9,10,50,9.2,13.53,9.97,6.23
"889",0.9,10,55,9.25,12.93,9.94,6.76
"890",0.9,10,60,9.27,12.82,9.91,6.82
"891",0.9,11,15,10.61,11.66,10.5,9.29
"892",0.9,11,20,10.37,13.32,10.77,8.06
"893",0.9,11,25,10.15,14.87,10.98,6.87
"894",0.9,11,30,10.06,15.33,11.1,6.62
"895",0.9,11,35,10.2,14.12,10.96,7.59
"896",0.9,11,40,10.13,14.92,11.06,6.99
"897",0.9,11,45,10.22,14.52,10.92,7.15
"898",0.9,11,50,10.04,15.15,11.06,6.73
"899",0.9,11,55,10.29,14.34,10.89,7.31
"900",0.9,11,60,10.14,14.63,11.01,7.18
